Date,Open,High,Low,Close,Adj Close,Volume
1970-11-10,14.256692,14.340344,14.256692,14.292543,3.488588,702912
1970-11-11,14.292543,14.483748,14.208891,14.208891,3.468173,834708
1970-11-12,14.208891,14.268642,14.161090,14.202916,3.466713,803328
1970-11-13,14.149140,14.149140,14.005736,14.011711,3.420042,707096
1970-11-16,14.011711,14.017686,13.790631,14.017686,3.421501,815880
1970-11-17,14.017686,14.113289,13.969885,13.999761,3.417125,418400
1970-11-18,13.981836,13.981836,13.862333,13.886233,3.389413,638060
1970-11-19,13.886233,14.005736,13.862333,13.910134,3.395247,525092
1970-11-20,13.910134,14.184990,13.898184,14.173040,3.459420,569024
1970-11-23,14.196941,14.364245,14.196941,14.292543,3.488588,937216
1970-11-24,14.292543,14.340344,14.113289,14.340344,3.500255,809604
1970-11-25,14.340344,14.376195,14.232792,14.292543,3.488588,985332
1970-11-27,14.292543,14.746654,14.268642,14.746654,3.599431,1048092
1970-11-30,14.746654,14.770554,14.591300,14.686902,3.584845,951860
1970-12-01,14.686902,14.770554,14.639101,14.722753,3.593596,880732
1970-12-02,14.722753,15.021511,14.710803,15.009560,3.663602,1188256
1970-12-03,15.009560,15.057361,14.830306,14.890057,3.634431,1104576
1970-12-04,14.890057,15.045411,14.770554,14.902008,3.637350,847260
1970-12-07,14.902008,15.105163,14.866157,15.105163,3.686937,759396
1970-12-08,15.105163,15.260516,15.045411,15.117113,3.689855,1006252
1970-12-09,15.117113,15.200765,15.033461,15.164914,3.701521,794960
1970-12-10,15.164914,15.290392,15.152964,15.176864,3.704436,730108
1970-12-11,15.176864,15.248566,15.152964,15.152964,3.698607,640152
1970-12-14,15.141013,15.141013,14.842256,14.854207,3.625681,694544
1970-12-15,14.854207,14.890057,14.800430,14.866157,3.628599,621324
1970-12-16,14.866157,15.009560,14.854207,14.961759,3.651934,514632
1970-12-17,14.961759,15.093212,14.961759,14.961759,3.651934,592036
1970-12-18,14.961759,15.141013,14.961759,15.081262,3.681105,633876
1970-12-21,15.081262,15.212715,15.033461,15.164914,3.701521,525092
1970-12-22,15.164914,15.236616,15.075287,15.105163,3.686937,717556
1970-12-23,15.105163,15.141013,14.866157,14.937859,3.646101,1525068
1970-12-24,14.949809,15.093212,14.949809,15.057361,3.675268,665256
1970-12-28,15.105163,15.224665,15.105163,15.224665,3.716105,407940
1970-12-29,15.224665,15.320268,15.152964,15.308317,3.736525,742660
1970-12-30,15.308317,15.332218,15.248566,15.272467,3.727772,447688
1970-12-31,15.272467,15.284417,15.129063,15.188815,3.707356,550196
1971-01-04,15.141013,15.141013,14.925908,14.961759,3.651934,562748
1971-01-05,14.961759,15.212715,14.890057,15.117113,3.689855,589944
1971-01-06,15.117113,15.320268,15.105163,15.200765,3.710272,510448
1971-01-07,15.200765,15.272467,15.093212,15.117113,3.689855,579484
1971-01-08,15.117113,15.141013,15.009560,15.033461,3.669436,598312
1971-01-11,15.009560,15.009560,14.830306,14.937859,3.646101,1029264
1971-01-12,14.937859,15.129063,14.925908,15.093212,3.684019,675716
1971-01-13,15.093212,15.188815,15.081262,15.087237,3.682563,941400
1971-01-14,15.087237,15.105163,14.973709,15.033461,3.669436,658980
1971-01-15,15.033461,15.057361,14.818356,14.818356,3.616930,753120
1971-01-18,14.866157,14.997610,14.866157,14.902008,3.637350,560656
1971-01-19,14.902008,15.009560,14.902008,14.949809,3.649016,663164
1971-01-20,14.949809,15.045411,14.913958,15.045411,3.672353,441412
1971-01-21,15.045411,15.105163,14.985660,15.081262,3.681105,573208
1971-01-22,15.111138,15.188815,15.111138,15.129063,3.692772,851444
1971-01-25,15.380019,15.380019,15.117113,15.380019,3.754025,1119220
1971-01-26,15.439771,15.666826,15.439771,15.583174,3.803610,1018804
1971-01-27,15.583174,15.583174,15.272467,15.415870,3.762776,962320
1971-01-28,15.344168,15.344168,15.152964,15.176864,3.704436,744752
1971-01-29,15.212715,15.559273,15.212715,15.559273,3.797781,711280
1971-02-01,15.559273,15.678776,15.535373,15.642925,3.818195,642244
1971-02-02,15.642925,15.714627,15.571224,15.666826,3.824032,767764
1971-02-03,15.666826,15.738528,15.607075,15.708652,3.834239,485344
1971-02-04,15.708652,15.822180,15.630975,15.798279,3.856117,621324
1971-02-05,15.798279,16.132887,15.690727,16.085087,3.941625,820064
1971-02-08,16.085087,16.336042,15.893881,16.288240,3.991410,719648
1971-02-09,16.288240,16.312141,16.168737,16.180689,3.965055,673624
1971-02-10,16.156788,16.156788,15.977533,16.120937,3.950407,648520
1971-02-11,16.120937,16.228489,16.097036,16.192638,3.967983,579484
1971-02-12,16.192638,16.228489,16.132887,16.228489,3.976765,382836
1971-02-16,16.228489,16.419695,16.192638,16.330067,4.001659,684084
1971-02-17,16.270315,16.270315,16.049234,16.085087,3.941625,652704
1971-02-18,16.085087,16.120937,15.738528,15.738528,3.856704,822156
1971-02-19,15.738528,15.858031,15.630975,15.690727,3.844988,692452
1971-02-22,15.690727,15.822180,15.607075,15.798279,3.871346,548104
1971-02-23,15.798279,16.037285,15.762428,16.025335,3.926983,382836
1971-02-24,16.061186,16.228489,16.061186,16.168737,3.962121,485344
1971-02-25,16.168737,16.192638,15.965583,15.965583,3.912340,504172
1971-02-26,15.965583,16.085087,15.869981,16.085087,3.941625,564840
1971-03-01,16.085087,16.216539,16.001434,16.204590,3.970911,474884
1971-03-02,16.180689,16.180689,16.061186,16.156788,3.959196,447688
1971-03-03,16.156788,16.168737,16.061186,16.120937,3.950407,380744
1971-03-04,16.168737,16.383842,16.168737,16.288240,3.991410,600404
1971-03-05,16.312141,16.515297,16.312141,16.515297,4.047047,692452
1971-03-08,16.515297,16.658701,16.407743,16.658701,4.082191,648520
